BuoyID, Time, Date, Lat, Long, Alt, Speed, Dir, Fix, Sat
300034012022250,2:14:27.,8/1/2008,74.7556066666667,-171.841693333333,6.186314,1.0017,168.90,1,8
300034012815320,2:17:05.,8/1/2008,74.16989,-128.667301666667,-12.52958,1.1043,79.60,1,8
300034012917920,3:33:53.,8/1/2008,76.5575683333333,-158.123865,4.886867,0.1328,144.21,1,6
300034012022250,4:14:22.,8/1/2008,74.73555,-171.842413333333,14.68878,1.4956,185.27,1,6
300034012815320,4:16:36.,8/1/2008,74.167255,-128.619293333333,-1.582861,1.0275,115.92,1,8
300034012917920,5:33:35.,8/1/2008,76.55647,-158.121383333333,7.49179,1.3044,96.99,1,6
300034012022250,6:14:38.,8/1/2008,74.7159616666667,-171.877068333333,14.09916,1.221,223.67,1,6
300034012815320,6:16:40.,8/1/2008,74.1567616666667,-128.587933333333,5.436694,0.9318,153.79,1,7
300034012917920,7:34:11.,8/1/2008,76.5561766666667,-158.115175,-1.074638,0.4467,17.57,1,7
300034012022250,8:14:22.,8/1/2008,74.7069766666667,-171.927603333333,-8.358134,0.5394,3.90,1,7
300034012815320,8:16:42.,8/1/2008,74.1464283333333,-128.587603333333,-8.915023,0.3313,153.20,1,10
300034012917920,9:34:29.,8/1/2008,76.5536466666667,-158.104446666667,2.280329,0.3602,121.90,1,5
300034012022250,10:14:23,8/1/2008,74.7062466666667,-171.959046666667,6.549953,1.0758,189.96,1,7
300034012815320,10:17:05,8/1/2008,74.1420833333333,-128.605821666667,-5.772467,1.5689,75.58,1,5
300034012917920,11:33:35,8/1/2008,76.54959,-158.099421666667,-9.013515,17.062,122.10,1,5
300034012815320,12:17:05,8/1/2008,74.1469916666667,-128.612108333333,-17.28314,0.9304,28.44,1,6
300034012022250,12:21:03,8/1/2008,74.7044016666667,-171.960916666667,4.502167,0.1702,151.09,1,5
300034012917920,13:33:56,8/1/2008,76.545725,-158.105693333333,-2.095736,0.4043,201.13,1,5
300034012022250,14:14:23,8/1/2008,74.6983933333333,-171.950823333333,-1.995685,1.0296,81.12,1,5
300034012815320,14:17:05,8/1/2008,74.1525733333333,-128.581738333333,-9.378102,0.9227,59.22,1,7
300034012917920,15:34:14,8/1/2008,76.544545,-158.125738333333,-7.054605,0.2416,232.45,1,5
300034012022250,16:14:45,8/1/2008,74.6844233333333,-171.945798333333,12.3445,0.9118,181.29,1,8
300034012815320,16:16:51,8/1/2008,74.1523216666667,-128.534091666667,-4.272723,0.4522,135.40,1,5
300034012917920,17:33:59,8/1/2008,76.5438116666667,-158.148976666667,-5.748829,0.3007,221.89,1,5
300034012022250,18:14:59,8/1/2008,74.6673816666667,-171.97101,-1.366039,3.4901,178.43,1,9
300034012815320,18:17:29,8/1/2008,74.1464983333333,-128.501455,-7.191157,0.4215,125.49,1,5
300034012917920,19:35:02,8/1/2008,76.5427166666667,-158.171081666667,3.445987,0.0508,53.27,1,5
300034012022250,20:14:59,8/1/2008,74.6568516666667,-172.0147,-4.366845,0.9815,213.44,1,9
300034012815320,20:16:53,8/1/2008,74.141465,-128.494805,-16.01231,0.1483,110.29,1,7
300034012917920,21:33:29,8/1/2008,76.5432183333333,-158.182698333333,15.72607,0.9106,209.63,1,7
